top,util,aspect,pearson,kendall,spearman,pearson_deg,kendall_deg,spearman_deg
bsg_chip,0.6,1.5,0.43491808473223476,0.25801629323900066,0.3753241727109816,0.5903210147327,0.473542193980036,0.5757946399122099
ariane,0.6,1.5,0.4176025927814773,0.22504433642687544,0.3288120846415419,0.6196772983602717,0.470580364523264,0.5746217435463727
ariane,0.75,1.0,0.4149571152684461,0.2245445948439592,0.32813790877390453,0.6170645594642107,0.46342507877730166,0.5656964631694329
RocketTile,0.8,1.5,0.4894207350916067,0.3126744361604403,0.4495494250411225,0.6635220196851613,0.5005040814017883,0.613428898934995
ariane,0.65,1.0,0.4157340104827112,0.2250302827080665,0.3289592726648242,0.6143190035986512,0.4687265440722871,0.5721039999843502
mempool_tile_wrap,0.75,1.25,0.46678857554627734,0.2545196989823296,0.3727920225954573,0.6321641828031288,0.5019968005005871,0.6167414748586891
jpeg_encoder,0.75,0.75,0.3790829984606313,0.22621572629970657,0.3340936279546771,0.643359306737242,0.43380092475915943,0.5349079300270685
jpeg_encoder,0.7,1.5,0.37951607185512204,0.22524271142026178,0.3325402747283479,0.6427107267197884,0.4279046653731122,0.527771856756603
ariane,0.65,1.25,0.418089589669712,0.22668469265577393,0.33124589286525224,0.6178016912456433,0.46855328749117703,0.5721666791196751
aes_cipher_top,0.8,1.25,0.32090615115337046,0.2222677039682857,0.32281415094005705,0.5171346396166007,0.4294428199316301,0.5372507733945434
ariane,0.6,1.5,0.4176025927814773,0.22504433642687544,0.3288120846415419,0.6196772983602717,0.470580364523264,0.5746217435463727
ariane,0.75,1.0,0.4149571152684461,0.2245445948439592,0.32813790877390453,0.6170645594642107,0.46342507877730166,0.5656964631694329
RocketTile,0.8,1.5,0.4894207350916067,0.3126744361604403,0.4495494250411225,0.6635220196851613,0.5005040814017883,0.613428898934995
ariane,0.65,1.0,0.4157340104827112,0.2250302827080665,0.3289592726648242,0.6143190035986512,0.4687265440722871,0.5721039999843502
mempool_tile_wrap,0.75,1.25,0.46678857554627734,0.2545196989823296,0.3727920225954573,0.6321641828031288,0.5019968005005871,0.6167414748586891
jpeg_encoder,0.75,0.75,0.3790829984606313,0.22621572629970657,0.3340936279546771,0.643359306737242,0.43380092475915943,0.5349079300270685
jpeg_encoder,0.7,1.5,0.37951607185512204,0.22524271142026178,0.3325402747283479,0.6427107267197884,0.4279046653731122,0.527771856756603
ariane,0.65,1.25,0.418089589669712,0.22668469265577393,0.33124589286525224,0.6178016912456433,0.46855328749117703,0.5721666791196751
aes_cipher_top,0.8,1.25,0.32090615115337046,0.2222677039682857,0.32281415094005705,0.5171346396166007,0.4294428199316301,0.5372507733945434
ariane,0.65,1.5,0.4202199813488069,0.22577085150169005,0.33008842495152624,0.61856798032849,0.4669921056176304,0.5700287937020635
RocketTile,0.7,0.75,0.4892622797061884,0.3131702279352914,0.45124729284350157,0.6530350206618954,0.49848893397251987,0.6115147263486711
